Name|NameDE|Description|DescriptionDE|DescriptionPL|Father|SpecificWeight|Vendor|ProductURL|SpecificPrice|YoungsModulus|UltimateTensileStrength|PoissonRatio|AmbientColor|Color|CompressiveStrength|Density|DiffuseColor|Elasticity|EmissiveColor|Enlargen|EnvironmentalEfficiencyClass|ExecutionInstructions|Finish|FireResistanceClass|FractureToughness|FragmentShader|KindOfMaterial|KindOfMaterialDE|MaterialNumber|Model|ModulusOfShare|Norm|SectionFillPattern|SectionLinewidth|Shininess|SoundTransmissionClass|SpecularColor|StandardCode|TexturePath|TextureScaling|ThermalConductivity|ThermalExpansionCoefficient|Transparency|UltimateStrain|UnitsPerQuantity|VertexShader|ViewColor|ViewFillPattern|ViewLinewidth|YieldStrength
"ABS"|""|"This is a blend ABS material card. The values are at the low end of the spectrum. If you need a more precise material definition use the more specialised ABS-blend cards."|""|""|"Thermoplast"|"3.5e-06"|""|"http://en.wikipedia.org/wiki/Acrylonitrile_butadiene_styrene"|"3"|"2320 MPa"|"38 MPa"|"0.35"|""|""|""|"1070 kg/m^3"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"CalculiX"|""|"Standard material for CalculiX sample calculations"|""|""|"Metal"|""|""|""|""|"210000 MPa"|""|"0.3"|""|""|""|"1000 kg/m^3"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"Concrete"|""|"A standard C-25 construction concrete"|""|""|"Aggregate"|"2400"|""|"http://en.wikipedia.org/wiki/Concrete"|""|"32000 MPa"|""|"0.17"|""|""|"25 MPa"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Masterformat 03 33 13"|""|""|""|""|""|""|""|""|""|""|""|""
"None"|""|"This is a not defined material"|""|""|"None"|"0.0"|""|""|"0.0"|"0 MPa"|"0 MPa"|"0.0"|""|""|""|"0 kg/m^3"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"PLA"|""|"Polylactic acid or polylactide (PLA, Poly) is a biodegradable thermoplastic aliphatic polyester derived from renewable resources, such as corn starch, tapioca roots, chips, starch or sugarcane."|""|""|"Thermoplast"|"1.27e-06"|""|"http://en.wikipedia.org/wiki/Polylactic_acid"|"4"|"3640 MPa"|"49.6 MPa"|"0.36"|""|""|""|"1300 kg/m^3"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"15CrNi6"|""|"High-strength carbon steel"|"höchste Beanspruchung, Achsen, Wellen, Ritzel, Nocken, Kegelräder"|"Wysokowytrzymała stal węglowa"|"Metal"|"7800"|""|""|""|"210000 MPa"|"1000"|"0.3"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Case-hardened steel"|"Einsatzstahl"|"1.5919"|""|"81000"|"EN 10084"|""|""|""|""|""|""|""|""|""|"1.10E-05"|""|"9"|""|""|""|""|""|"680"
"17CrNiMo6"|"17CrNiMo6"|""|"höchste Beanspruchung, Wellen, Zahnräder"|""|"Metal"|"7800"|""|""|""|"210000 MPa"|"1150"|"0.3"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Case-hardened steel"|"Einsatzstahl"|"1.6587"|""|"81000"|"EN 10084"|""|""|""|""|""|""|""|""|""|"1.10E-05"|""|"8"|""|""|""|""|""|"830"
"1C22"|"C22"|"Case hardened alloy steel"|"kleiner Vergütungsdurchmesser, gut schweißbar"|"Stal stopowa do nawęglania"|"Metal"|"7800"|""|""|""|"210000 MPa"|"400"|"0.3"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Heat-treatable steel"|"Vergütungsstahl"|"1.0402"|""|"81000"|"EN 10083-1"|""|""|""|""|""|""|""|""|""|"1.10E-05"|""|"27"|""|""|""|""|""|"230"
"Steel"|""|"This is a blend Steel material card. The values are at the low end of the spectrum. If you need a more precise material definition use the more specialised steel cards."|""|""|"Metal"|"7800.0e-12"|""|"http://en.wikipedia.org/wiki/Steel"|"1.5 Euro/Kg"|"200000 MPa"|""|"0.3"|""|""|""|"7900 kg/m^3"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"Wood"|""|"A standard construction wood"|""|""|"Aggregate"|"500"|""|"http://en.wikipedia.org/wiki/Wood"|""|"12000 MPa"|""|"0.05"|""|""|""|"0.7 kg/m^3"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
